plot,counter,date,individual,treatment,species,climate,height,capsule size,seedcapsule,seed_count,status,viable,sample,status_paperbag,organzabag_size,first seedcap,herbivory,comment,entered,labmeeting,,
1_1,Martin,17.10.2019,C2,control,Dia_car,ambient,17,,4,0,dry,0,single,dry,,,0,"very old, had colour",354,,,
1_1,Martin,17.10.2019,C2,control,Dia_car,ambient,24,,3,,no_cap,,single,no_cap,,,0,"no seedcapsule, dry, color",2460,,,
1_1,Garp,18.09.2019,C2,control,Dia_car,ambient,16,1.1,3,0,dry,0,single,dry,,,1,herbivory,3434,,,
1_1,Garp,18.09.2019,C2,control,Dia_car,ambient,16,1.3,2,0,dry,0,single,dry,,,1,herbivory,3433,,,
1_1,Lara,18.09.2019,C2,control,Dia_car,ambient,24,0.5,4,0,open,0,single,open,,,0,,1627,1,,
1_1,Sanne,18.09.2019,C2,control,Dia_car,ambient,23,1.4,1,0,dry,0,single,dry,,,0,"herbivory, capsule was missing",1496,1,,
1_1,Garp,24.09.2019,C2,control,Dia_car,ambient,21,,1,0,herbiv,0,single,herbiv,,,1,herbivory,3232,,,
1_1,Garp,24.09.2019,C2,control,Dia_car,ambient,22.5,,2,0,herbiv,0,single,herbiv,,,1,herbivory,3233,,,
1_1,Julia,26.08.2019,C2,control,Dia_car,ambient,20,1.2,11,67,open,26,single,open,,,0,,2942,,,
1_1,Julia,26.08.2019,C2,control,Dia_car,ambient,24,1.5,8,71,open,37,single,open,,,0,,2926,,,
2_5,Julia,22.08.2019,C1,control,Dia_car,future,9,1.5,3,82,ripe_capsule,66,single,open,,,0,,2229,,,
2_5,Julia,22.08.2019,C1,control,Dia_car,future,15,1.6,2,100,ripe_capsule,60,single,open,,,0,,2228,,,
1_1,Martin,27.08.2019,C2,control,Dia_car,ambient,13,0.9,3,68,open,38,single,open,,,0,"color, additiol 11 yellow included in seed_count",889,,,
1_1,Martin,27.08.2019,C2,control,Dia_car,ambient,20,1,5,57,open,21,single,open,,,0,"color, additiol 13 yellow and small incluided in seedcount",962,,,
